ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;method;best cf index;order;dataset
0;;;;;;False;;;;;;;;;;4.408128976821899;AB-CF;0;1;BasicMotions
1;;;;;;False;;;;;;;;;;0.9996521472930908;AB-CF;0;1;BasicMotions
2;;;;;;False;;;;;;;;;;0.8283572196960449;AB-CF;0;1;BasicMotions
3;;;;;;False;;;;;;;;;;0.6564233303070068;AB-CF;0;1;BasicMotions
4;;;;;;False;;;;;;;;;;0.6402130126953125;AB-CF;0;1;BasicMotions
5;;;;;;False;;;;;;;;;;4.544439792633057;AB-CF;0;1;BasicMotions
6;;;;;;False;;;;;;;;;;0.7342040538787842;AB-CF;0;1;BasicMotions
7;;;;;;False;;;;;;;;;;0.7238438129425049;AB-CF;0;1;BasicMotions
8;;;;;;False;;;;;;;;;;0.6825854778289795;AB-CF;0;1;BasicMotions
9;;;;;;False;;;;;;;;;;0.45298099517822266;AB-CF;0;1;BasicMotions
10;;;;;;False;;;;;;;;;;4.153883457183838;AB-CF;0;1;BasicMotions
11;;;;;;False;;;;;;;;;;0.4449787139892578;AB-CF;0;1;BasicMotions
12;;;;;;False;;;;;;;;;;0.5000667572021484;AB-CF;0;1;BasicMotions
13;;;;;;False;;;;;;;;;;0.5171563625335693;AB-CF;0;1;BasicMotions
14;;;;;;False;;;;;;;;;;0.5004854202270508;AB-CF;0;1;BasicMotions
15;;;;;;False;;;;;;;;;;4.249249458312988;AB-CF;0;1;BasicMotions
16;;;;;;False;;;;;;;;;;0.4843566417694092;AB-CF;0;1;BasicMotions
17;;;;;;False;;;;;;;;;;0.4997856616973877;AB-CF;0;1;BasicMotions
18;;;;;;False;;;;;;;;;;0.516035795211792;AB-CF;0;1;BasicMotions
19;;;;;;False;;;;;;;;;;0.4530925750732422;AB-CF;0;1;BasicMotions
20;;;;;;False;;;;;;;;;;4.053235054016113;AB-CF;0;1;BasicMotions
21;;;;;;False;;;;;;;;;;0.8017094135284424;AB-CF;0;1;BasicMotions
22;;;;;;False;;;;;;;;;;0.5161268711090088;AB-CF;0;1;BasicMotions
23;;;;;;False;;;;;;;;;;0.4739034175872803;AB-CF;0;1;BasicMotions
24;;;;;;False;;;;;;;;;;0.4323856830596924;AB-CF;0;1;BasicMotions
25;;;;;;False;;;;;;;;;;3.9928929805755615;AB-CF;0;1;BasicMotions
26;;;;;;False;;;;;;;;;;0.501328706741333;AB-CF;0;1;BasicMotions
27;;;;;;False;;;;;;;;;;0.48392534255981445;AB-CF;0;1;BasicMotions
28;;;;;;False;;;;;;;;;;0.47487473487854004;AB-CF;0;1;BasicMotions
29;;;;;;False;;;;;;;;;;0.4937148094177246;AB-CF;0;1;BasicMotions
30;360.0;0.6;1691.795991;123.49419464897709;0.7615405321121216;True;;0.75668658076185;0.6640283675878913;0.5566884648965961;0.1463500738251996;0.2781963486271642;0.3677557087710832;30.0;0.1;4.7114341259002686;AB-CF;0;1;BasicMotions
31;300.0;0.5;1439.929732;116.3967981917175;0.598162829875946;True;;0.6652599845045026;0.8163724329814365;0.49647940140767877;0.01259942252630264;0.13531156878640738;0.2339475382017816;24.0;0.08;0.9841721057891846;AB-CF;0;1;BasicMotions
32;360.0;0.6;1856.988381;132.72063980093614;0.5149314403533936;True;;0.7365210273678067;0.70745630774126;0.595506539390237;0.039582966618533666;0.1161570982733311;0.32125876292769845;18.0;0.06;0.8906674385070801;AB-CF;0;1;BasicMotions
33;300.0;0.5;1530.788032;129.38997833919234;0.6843907833099365;True;;0.7564592021806472;0.640629281722073;0.5322629832456762;0.03980105643293397;0.16261934980611537;0.19689944140095045;30.0;0.1;0.6603443622589111;AB-CF;0;1;BasicMotions
34;299.0;0.49833333333333335;1429.630955;112.13293216496687;0.606376588344574;True;;0.7015797919874176;0.7280872722961786;0.5675685496214953;0.024873372590571763;0.1625764871610813;0.2737347830400875;25.0;0.08333333333333333;0.605494499206543;AB-CF;0;1;BasicMotions
35;420.0;0.7;2262.5787689999997;155.12898769111197;0.8169071674346924;True;;0.6379335594747897;0.7548717929212337;0.5477693784861837;0.0;0.11912443730871547;0.15156874701574446;18.0;0.06;4.968103885650635;AB-CF;0;1;BasicMotions
36;300.0;0.5;1559.2678099999998;124.99761955733888;0.5871838927268982;True;;0.6808585817984667;0.7242100901094901;0.5285765648397962;0.09342182333303384;0.12059749349307092;0.31360604090949673;24.0;0.08;0.9999923706054688;AB-CF;0;1;BasicMotions
